|ID|name|fa_18|fa_17|fa_16|fa_15|fa_14|fa_13|fa_12|fa_11|fa_10|em_18|em_17|em_16|em_15|em_14|em_13|em_12|em_11|em_10|ec_18|ec_17|ec_16|ec_15|ec_14|ec_13|ec_12|ec_11|ec_10|mc_18|mc_17|mc_16|mc_15|mc_14|mc_13|mc_12|mc_11|mc_10|s_18|s_17|s_16|s_15|s_14|s_13|s_12|s_11|s_10|year_cor
20|78|SIEGWERK DRUCKFARBEN AG & CO. KGAA|386138.41682000004|366645.557572|363764.6112599999|350447.926245|341712.778791|319108.23707200005|331696.478748|354749.56604|290808.10802200006|1331747.6|1397183.0|1402751.4|1398866.4|1342289.0|1392192.9000000001|1349403.0|1348435.2|1305266.8|81240.48343336376|86180.91533559517|81137.81624500694|82866.09449212594|76438.5179857425|76508.28190971093|71167.39974541789|66883.18198895243|74809.54225352111|202165.9130148819|198040.22179922138|207691.07856191814|247688.35930339218|240669.92452452265|244818.52759950407|246399.19661137724|276797.79561006295|237896.33802816898|386262.90619090816|379137.4704957365|394154.37383488816|434756.4372968934|421018.0481850378|422077.31215091783|424735.8013755679|445105.49643554597|407353.2730915492|1840
21|84|DEUTSCHE INFINEUM GMBH & CO. KG|22606.329022000005|18838.043442|15749.904167999997|10806.230697|7588.369874999999|5705.695712|5094.737632|4792.570874|4263.429052|206695.6|201278.0|198527.19999999998|187301.4|184287.0|189785.40000000002|191274.59999999998|196425.6|199893.8|15615.473814026196|15164.50616568728|14850.683089214432|13732.945587867724|13738.313252820086|13500.54444464775|14132.20673164505|12671.68641180637|13967.202288732391|292820.7777686436|308357.4056111882|274056.0918774976|296162.0838263488|351086.06984212965|335175.10502312344|348596.9480191978|298863.276924741|257194.6396478873|355375.8996957999|376790.41231482127|346713.7370173114|370806.5044579631|418774.079656673|404382.4639516213|420350.1974305769|361352.6113227385|321078.4882816901|1998
22|85|JOHNSON & JOHNSON GMBH|33287.86607552001|30613.092309920004|28025.865626039995|24852.31474563|22121.77570926|19493.9499088|16857.316919279998|16369.922085940001|15192.80560872|927513.8|948882.0|935167.6|982350.0|972408.0|956726.4|957683.1|1019289.6000000001|994173.7999999999|80512.89662747705|70602.83704046985|64700.280848868395|75567.56491292418|71468.80494393964|64896.69293105499|57672.38783837816|64499.75498122102|55094.72498450705|144689.17073419437|146533.34231564958|154310.56520972087|126353.18715773728|113777.15865373232|43829.12512252469|45952.086679307904|47138.889522448066|46540.45235457746|349274.23770451493|356931.0973665468|357200.57278961496|324516.1921439891|307551.56508191675|230910.26578288173|214559.38606338418|237689.41512326404|230540.9404576056|1948
23|86|BIONORICA SE|121335.58099999999|98936.17|87794.496|81628.533|66487.41|51865.12676|42490.307232|35007.835356|26085.968016000003|2158530.0|1991868.0|1900375.4999999998|1854676.8|1815423.0|1620975.3|1421458.5|1284729.6|1196715.2|94350.40697196448|86520.56608458135|80395.80559254355|76570.619115074|72923.3432267815|63920.562424236865|55339.53240765669|48369.148764915844|44456.695591549294|25209.570007399576|26426.218654307617|19680.758988016045|19693.358886759503|16370.23498456804|17077.70586069192|14107.780580497541|10696.279361527157|11319.026338028169|333327.3041190507|294894.31432591146|252740.01331558006|246658.44512957337|233054.5603940384|239788.77209538486|208667.6578540632|178877.7205035481|156200.81848591546|1987
24|87|CERDIA PRODUKTIONS GMBH|137411.42881594002|131546.34187026|133553.66299848002|130779.13886171998|126291.57286035003|113964.65225144001|115255.30130136998|116147.63169606001|106297.70201394001|961527.0|981557.0|1005696.9999999999|1021644.0|1037758.0|1023021.3|1019257.7999999999|1039197.6000000001|1044478.2|63743.825677875735|36091.8022544069|64028.436281624716|62935.76293308912|63289.42432877809|61044.81656397951|58510.35183852481|58592.46397536924|54978.08217077464|147630.34215243|89332.1774162043|150144.709953396|149638.44356970303|170440.70076568003|197218.36753692664|198371.2627414662|195778.78652612006|177809.6882887324|324474.67381731584|215011.25060994714|395483.7343042623|390369.3225831194|446389.54996950016|467656.19036066666|424675.03002927324|403172.8125268249|374208.0421509859|1927
25|88|VESUVIUS GMBH|34305.3856281|34080.38070244|35980.937023319995|34663.33673462999|35771.836195769996|34291.25904736001|48429.40477674|27485.167812379997|25228.858228160003|1351370.6|1357973.0|1281284.0999999999|1305870.5999999999|1303079.0|1288200.9000000001|1114895.0999999999|1089631.2|1049773.4|77537.53746279725|77995.92575022732|68745.19390146495|75298.84637613558|70764.53852112676|72210.1154990874|59273.26785925343|60186.33639232369|54386.650857042245|179402.88763627457|186728.11506082866|160993.20502330278|167092.38120490016|175639.1940171117|177646.9563750806|161592.9356294833|171761.03427251754|146638.20008711267|339035.33120447374|341151.1397732339|301414.41108854953|305935.1503141415|322036.72506138636|324348.89363768185|286386.0928300199|309364.170536151|270828.937637324|1952
26|90|UMICORE GALVANOTECHNIK GMBH|7595.697000000001|6799.831999999999|6702.012|6485.1990000000005|6346.946999999999|6025.088000000001|6188.918999999999|6251.224|5625.49|239400.6|228725.0|231179.69999999998|237073.8|232646.0|228782.40000000002|227957.4|224296.80000000002|229017.4|16622.214914083754|16386.658942315593|14372.836218375547|15894.675443713078|14642.661398253773|13667.085984566049|13668.074009828098|12956.536809427042|13025.957746478873|297165.50193209015|260053.29802201354|206829.2276964055|212784.26797766925|218463.7872483771|246230.42509686237|247817.83289012514|259513.40116011942|232914.2816901408|337364.46600345423|299710.0057932623|242053.2623169116|245935.50537455294|251802.49824740295|280489.1312800479|277867.3148465346|288670.8082336615|259567.4436619718|1982
27|93|FERRING GMBH|36246.52983328001|35294.83635262|32939.91077004|21347.986127279997|17133.45720411|16255.09704448|14637.03938545|15250.37509652|15162.043134740004|456561.8|432617.0|428400.8|408657.6|396021.0|339273.9|301323.0|272076.0|255493.4|24209.661606511636|21786.000407183572|21812.363918109262|20667.529585867913|19136.086217622473|16786.924323815576|14299.419341248822|12748.327508976558|12266.89131753521|264962.69905779907|160060.69130182848|161316.74441744393|153431.33066577837|130782.5675054854|122128.56803660873|122299.38011047161|109160.26193884418|101742.03096823943|324995.16815917235|214517.56782918077|208622.47827563318|194269.54868094393|172971.14241369022|163298.20640147477|160398.7917815589|138769.13557568047|119770.9071303521|1980
28|100|TOKAI ERFTCARBON GMBH|24136.30055595|22812.51980292|22764.601896479995|23935.998394950006|25044.72091389|25214.228377280004|25690.202827869998|23945.01228024|18931.65473278|231551.4|210427.0|215506.49999999997|226595.4|237874.0|235281.90000000002|241058.4|244204.80000000002|236960.19999999998|17950.176765600652|14312.008607133941|11920.106524633862|13408.882593117287|12861.164725912031|13368.552987296951|13740.798324478712|13385.995051986703|13415.246478873238|110.02647373180996|40562.44310187853|34324.23435419452|48741.93817181918|63957.8671121753|64519.93284814439|78128.44822944005|75937.15999855768|72947.04225352113|287601.65681822016|75214.58293139095|67713.5371238351|73511.87401049936|96108.4989164398|81782.3856088267|115515.78520234227|113251.21407671392|110881.04218866197|1997
29|101|L'ORÉAL PRODUKTION DEUTSCHLAND GMBH & CO. KG|56478.007428790006|61302.3879088|56699.2353042|46794.27154956|42102.016895220004|58498.49183192|58270.54861395|55188.720893920006|51857.40544544|531129.2000000001|525414.0|495011.89999999997|495104.39999999997|508423.0|505661.10000000003|482116.8|455229.60000000003|464653.8|33140.96093069156|30865.512369444576|26812.191431424857|30303.471360720043|26992.280251235916|25033.69490064453|23704.916145865667|22545.303789103433|22777.598919859152|182806.1205393412|188252.60687908568|180350.04056924162|166263.31251395773|170775.5942425139|161630.13278064947|143857.36889419486|128773.97150197903|128252.9795228169|287247.55565238936|289931.6401191747|276951.94752663205|259425.15618698532|268507.46720838605|245797.6371078043|225287.22830283572|198552.8475762527|206010.78343323944|1998
